,City,Country,Department,EndDate,Firstname,FiscalYear,ID,Institution,Lastname,Middlename,NamePrefix,NameSuffix,PostalCode,StartDate,State,Title
0,College Place,USA,Department of English,1989-08-31,Terrie,1989,4644,Walla Walla College,Aamodt,{},Prof.,{},99324-1198,1989-07-17,WA,Professor
1,College Place,USA,Department of English,1990-04-26,Terrie,1990,5875,Walla Walla College,Aamodt,{},Prof.,{},99324-1198,1990-04-26,WA,Professor
2,College Place,USA,Department of English,1996-12-15,Terrie,1997,7291,Walla Walla College,Aamodt,{},Prof.,{},99324-1198,1996-11-15,WA,Professor
3,College Place,USA,Department of English,1997-12-19,Terrie,1998,7391,Walla Walla College,Aamodt,{},Prof.,{},99324-1198,1997-11-17,WA,Professor
4,College Place,USA,Department of English,1998-12-18,Terrie,1999,7492,Walla Walla College,Aamodt,{},Prof.,{},99324-1198,1998-11-17,WA,Professor
5,College Place,USA,Department of English,2001-12-27,Terrie,2002,6338,Walla Walla College,Aamodt,{},Prof.,{},99324-1198,2001-11-27,WA,Professor
6,College Place,USA,Department of English,2003-12-12,Terrie,2004,70421,Walla Walla College,Aamodt,{},Prof.,{},99324-1198,2003-10-27,WA,Professor
7,College Place,USA,Department of English,2006-11-20,Terrie,2007,75301,Walla Walla College,Aamodt,{},Prof.,{},99324-1198,2006-10-20,WA,Professor
8,Portland,USA,Department of Foreign Languages,2010-11-30,Nicole,2011,79138,Lewis and Clark College,Aas-Rouxparis,{},Dr.,{},97219-7879,2010-10-31,OR,Professor and Chair
9,Coral Gables,USA,{},2010-07-19,Edmund,2010,78753,University of Miami,Abaka,{},Prof.,{},33146-2503,2010-07-19,FL,Associate Professor and Director of Africana Studies
10,El Paso,USA,{},2010-09-22,Meredith,2010,78808,"University of Texas, El Paso",Abarca,E.,Prof.,{},79968-8900,2010-09-22,TX,Ph.D Associate Professor of English
11,San Francisco,USA,{},2000-04-03,Stanley,2000,8215,San Francisco State University Foundation Inc.,Abe,Kenji,Prof.,{},94132-1722,2000-04-03,CA,{}
12,Ann Arbor,USA,Department of Screen Arts and Cultures,1900-01-01,Richard,0,84623,"University of Michigan, Ann Arbor",Abel,O.,Prof.,{},48109-1382,1900-01-01,MI,Emeritus Professor of International Cinema and Media Studies
13,Ann Arbor,USA,Department of Screen Arts and Cultures,2004-08-04,Richard,2004,73096,"University of Michigan, Ann Arbor",Abel,O.,Prof.,{},48109-1382,2004-08-04,MI,Emeritus Professor of International Cinema and Media Studies
14,Hanover,USA,{},1996-08-01,Samuel,1996,4044,Dartmouth College,Abel,D.,Dr.,{},03755-1808,1996-08-01,NH,Department of Drama
15,Hanover,USA,{},1997-07-21,Samuel,1997,4140,Dartmouth College,Abel,D.,Dr.,{},03755-1808,1997-07-21,NH,Department of Drama
16,New York,USA,Eugene Lang College,2004-07-22,Elaine,2004,73043,New School,Abelson,S.,Dr.,{},10011-8871,2004-07-22,NY,Associate Professor of History and Urban Studies
17,New York,USA,Eugene Lang College,1900-01-01,Elaine,2015,83713,New School,Abelson,S.,Dr.,{},10011-8871,2015-03-24,NY,Associate Professor of History and Urban Studies
18,Los Angeles,USA,{},1991-08-22,Joel,1991,2795,"University of California, Los Angeles",Aberbach,D.,Prof.,{},90095-9000,1991-08-22,CA,Professor of Political Science
19,New York,USA,{},1995-01-17,Thomas,1995,4516,New York University,Abercrombie,A.,Prof.,{},10012-1019,1995-01-17,NY,{}
20,Costa Mesa,USA,Department of Architectural Technology,2008-12-04,Dean,2009,77073,Orange Coast College,Abernathy,{},Dr.,{},92626-5561,2008-12-04,CA,Lecturer
21,Amherst,USA,{},1995-01-20,Rowland,1995,8713,Amherst College,Abiodun,{},Dr.,{},01002-2372,1995-01-19,MA,Department of Art History
22,Amherst,USA,{},1997-02-07,Rowland,1997,8807,Amherst College,Abiodun,{},Dr.,{},01002-2372,1997-02-07,MA,Department of Art History
23,Athens,USA,{},2013-11-19,Ruta,2014,82060,University of Georgia,Abolins,M.,Ms.,{},30602-0001,2013-11-19,GA,{}
24,Moscow,USA,Special Collections and Archives,1995-02-27,Terry,1995,24895,University of Idaho Library,Abraham,P.,Mr.,{},83843,1995-02-27,ID,"Head, Special Collections"
25,Moscow,USA,Special Collections and Archives,1997-11-13,Terry,1998,17569,University of Idaho Library,Abraham,P.,Mr.,{},83843,1997-11-13,ID,"Head, Special Collections"
26,Moscow,USA,Special Collections and Archives,2000-11-30,Terry,2001,10558,University of Idaho Library,Abraham,P.,Mr.,{},83843,2000-11-30,ID,"Head, Special Collections"
27,Moscow,USA,Special Collections and Archives,2001-05-22,Terry,2001,10254,University of Idaho Library,Abraham,P.,Mr.,{},83843,2001-05-22,ID,"Head, Special Collections"
28,Moscow,USA,Special Collections and Archives,2009-07-17,Terry,2009,77555,University of Idaho Library,Abraham,P.,Mr.,{},83843,2009-07-17,ID,"Head, Special Collections"
29,Philadelphia,USA,Center for Folklore and Ethnography,1989-12-04,Roger,1990,6604,University of Pennsylvania,Abrahams,D.,Prof.,{},19104-6205,1989-12-04,PA,Folklore & Folklife Department
30,Philadelphia,USA,Center for Folklore and Ethnography,1991-01-25,Roger,1991,8484,University of Pennsylvania,Abrahams,D.,Prof.,{},19104-6205,1991-01-24,PA,Folklore & Folklife Department
31,Philadelphia,USA,Center for Folklore and Ethnography,1996-01-12,Roger,1996,10219,University of Pennsylvania,Abrahams,D.,Prof.,{},19104-6205,1996-01-12,PA,Folklore & Folklife Department
32,Philadelphia,USA,Center for Folklore and Ethnography,2001-05-03,Roger,2001,5807,University of Pennsylvania,Abrahams,D.,Prof.,{},19104-6205,2001-05-03,PA,Folklore & Folklife Department
33,Philadelphia,USA,Center for Folklore and Ethnography,2001-08-06,Roger,2001,2491,University of Pennsylvania,Abrahams,D.,Prof.,{},19104-6205,2001-08-06,PA,Folklore & Folklife Department
34,Evanston,USA,Medill School of Journalism,2004-02-10,David,2004,72584,Northwestern University,Abrahamson,{},Prof.,{},60208-0001,2004-02-10,IL,Helen G. Brown Research Professor of Journalism
35,New York,USA,{},1994-07-11,Ruth,1994,516,Lower East Side Tenement Museum,Abram,J.,Ms.,{},10002-3102,1994-07-11,NY,{}
36,New York,USA,{},2000-12-12,Ruth,2001,8243,Lower East Side Tenement Museum,Abram,J.,Ms.,{},10002-3102,2000-12-11,NY,{}
37,Oneonta,USA,{},1998-07-13,George,1998,394,Hartwick College,Abrams,H. J.,{},{},13820-4000,1998-07-13,NY,"Director, The Yager Museum"
38,Berkeley,USA,Department of History,1992-04-30,Richard,1992,5924,"University of California, Berkeley",Abrams,M.,Prof.,{},94704-5940,1992-04-30,CA,Professor
39,Oakland,{},University of California Curation Center,1900-01-01,Stephen,2015,84269,California Digital Library,Abrams,L.,Mr.,{},94612-2901,2015-09-03,CA,Associate Director
40,Medford,USA,Department of Art and Art History,2002-05-16,Daniel,2002,10348,Tufts University,Abramson,Michael,Prof.,{},02155-5818,2002-05-16,MA,Associate Professor of Art History; Director of Architectural Studies
41,Medford,USA,Department of Art and Art History,2010-11-30,Daniel,2011,79147,Tufts University,Abramson,Michael,Prof.,{},02155-5818,2010-10-31,MA,Associate Professor of Art History; Director of Architectural Studies
42,Bloomington,USA,Department of Philosophy,1900-01-01,Kate,0,83964,"Indiana University, Bloomington",Abramson,{},Dr.,{},47405-7000,1900-01-01,IN,Associate Professor of Philosophy
43,New York,USA,{},1997-03-10,Barbara,1997,8149,Media Network,Abrash,{},Ms.,{},10013,1997-03-10,NY,{}
44,New York,USA,{},1998-12-07,Barbara,1999,10149,Media Network,Abrash,{},Ms.,{},10013,1998-12-07,NY,{}
45,New York,USA,{},2000-03-31,Barbara,2000,8977,Media Network,Abrash,{},Ms.,{},10013,2000-03-31,NY,{}
46,Lancaster,USA,{},2006-11-20,Genevieve,2007,75148,Franklin and Marshall College,Abravanel,{},Dr.,{},17603-2802,2006-10-20,PA,{}
47,Lancaster,USA,{},2008-11-30,Genevieve,2009,76943,Franklin and Marshall College,Abravanel,{},Dr.,{},17603-2802,2008-10-31,PA,{}
48,São Paulo,{},Department of Literary Theory,1900-01-01,Marcia,0,85967,University of Campinas,Abreu,A.,Prof.,{},{},1900-01-01,ZZ,Professor
49,Tuscaloosa,USA,Department of History,1900-01-01,Margaret,0,85248,University of Alabama,Abruzzo,{},Dr.,{},35487-0001,1900-01-01,AL,Associate Professor of History
50,Villanova,USA,Department of History,2006-04-28,Hibba,2006,74791,Villanova University,Abugideri,{},Prof.,{},19085-1478,2006-04-28,PA,Assistant Professor
51,Oberlin,USA,Department of History,1900-01-01,Zeinab,0,86257,Oberlin College,Abul-Magd,{},{},{},44074-1099,1900-01-01,OH,Associate Professor of History
52,Austin,USA,{},1988-12-09,Robert,1989,6440,"University of Texas, Austin",Abzug,H.,Prof.,{},78712-0100,1988-12-09,TX,Director
53,Austin,USA,{},1989-12-15,Robert,1990,6583,"University of Texas, Austin",Abzug,H.,Prof.,{},78712-0100,1989-12-15,TX,Director
54,Los Angeles,USA,Department of History,1900-01-01,Elinor,2014,82754,University of Southern California,Accampo,A.,Prof.,{},90089-0012,2014-07-21,CA,Professor of History
55,Troy,USA,History Program,1900-01-01,Patricia,2015,83910,Russell Sage College,Acerbi,{},Dr.,{},12180-4115,2015-08-11,NY,Assistant Professor of History
56,Rio Piedras,USA,{},2003-07-08,Luz del Alba,2003,70227,"University of Puerto Rico, Rio Piedras",Acevedo,{},Prof.,{},00931-3300,2003-07-08,PR,{}
57,Boulder,USA,Film Studies Program,1900-01-01,Ernesto,0,85295,"University of Colorado, Boulder",Acevedo-Muñoz,R.,Dr.,{},80302-7046,1900-01-01,CO,Professor of Film Studies and Comparative Literature
58,Chicago,USA,{},1993-05-18,Mukund,1993,2272,Illinois Institute of Technology,Acharya,{},Dr.,{},60616-3732,1993-05-18,IL,Department of Mechanical Eng.
59,Chicago,USA,{},1995-03-31,Mukund,1995,2330,Illinois Institute of Technology,Acharya,{},Dr.,{},60616-3732,1995-03-31,IL,Department of Mechanical Eng.
60,Denver,USA,International Baccalaureate,2004-12-10,William,2005,73477,George Washington High School,Achbach,{},{},{},80224-1228,2004-12-10,CO,{}
61,Nashville,USA,Department of Political Science,1900-01-01,Brooke,0,84650,Vanderbilt University,Ackerly,{},{},{},37240-0001,1900-01-01,TN,Associate Professor of Political Science and of Philosophy
62,New York,USA,{},2002-07-30,Andrew,2002,291,Children's Museum of Manhattan,Ackerman,Scott,Mr.,{},10024-4901,2002-07-30,NY,Executive Director
63,New York,USA,{},2004-03-29,Andrew,2004,72681,Children's Museum of Manhattan,Ackerman,Scott,Mr.,{},10024-4901,2004-03-29,NY,Executive Director
64,New York,USA,{},2009-11-19,Andrew,2010,77768,Children's Museum of Manhattan,Ackerman,Scott,Mr.,{},10024-4901,2009-11-19,NY,Executive Director
65,Honolulu,USA,{},1991-06-06,Carl,1991,2051,Punahou School,Ackerman,R.,Mr.,{},96822-3399,1991-06-06,HI,Teacher of Russian History
66,Honolulu,USA,{},1993-09-16,Carl,1993,1893,Punahou School,Ackerman,R.,Mr.,{},96822-3399,1993-09-16,HI,Teacher of Russian History
67,Honolulu,USA,{},1995-02-07,Carl,1995,2190,Punahou School,Ackerman,R.,Mr.,{},96822-3399,1995-02-07,HI,Teacher of Russian History
68,Providence,USA,Philosophy,1989-08-02,Felicia,1989,2683,Brown University,Ackerman,{},Ms.,{},02912-0001,1989-08-02,RI,Professor
69,Providence,USA,Philosophy,1991-08-06,Felicia,1991,2779,Brown University,Ackerman,{},Ms.,{},02912-0001,1991-08-06,RI,Professor
70,Providence,USA,Philosophy,1997-08-05,Felicia,1997,3245,Brown University,Ackerman,{},Ms.,{},02912-0001,1997-08-05,RI,Professor
71,Cambridge,USA,{},1993-07-22,James,1993,3832,Harvard University,Ackerman,S.,Prof.,{},02138-3800,1993-07-22,MA,Emeritus Prof.Porter of F.Arts
72,Rock Hill,USA,{},1991-05-10,Susan,1991,5903,Winthrop University,Ackerman,{},Prof.,{},29733-7001,1991-05-10,SC,{}
73,Burlington,USA,Department of Romance Languages,2009-08-10,Joseph,2009,77613,University of Vermont,Acquisto,{},Dr.,{},05405-0160,2009-08-10,VT,Associate Professor of French
74,Burlington,USA,Department of Romance Languages,2011-10-04,Joseph,2012,80009,University of Vermont,Acquisto,{},Dr.,{},05405-0160,2011-10-04,VT,Associate Professor of French
75,Arlington,USA,{},2010-11-30,Thomas,2011,79113,"University of Texas, Arlington",Adam,{},Dr.,{},76019-9800,2010-10-31,TX,{}
76,Champaign,USA,{},2013-04-16,Piotr,2013,81575,Google Cultural Institute,Adamczyk,{},{},{},61820,2013-04-16,IL,"Program Manager,"
77,Worcester,USA,Department of Modern Languages and Literatures,2014-04-03,Amy,2014,82507,Holy Cross College,Adams,Singleton,{},{},01610-2322,2014-04-03,MA,Associate Professor of Russian
78,Seattle,USA,English Department,2002-04-26,Brenda,2002,1931,Monroe High School,Adams,{},Dr.,{},{},2002-04-26,WA,{}
79,Philadelphia,USA,Department of Geography and Urban Studies,2004-07-22,Carolyn,2004,73136,Temple University,Adams,T.,Prof.,{},19122-6003,2004-07-22,PA,Professor of Georgraphy and Urban Studies
80,Whittier,USA,Department of English,1991-08-12,Charles,1991,3667,Whittier College,Adams,S.,Dr.,{},90601-4446,1991-08-12,CA,{}
81,Whittier,USA,Department of English,1992-11-30,Charles,1993,6904,Whittier College,Adams,S.,Dr.,{},90601-4446,1992-10-27,CA,{}
82,Whittier,USA,Department of English,1995-03-03,Charles,1995,24905,Whittier College,Adams,S.,Dr.,{},90601-4446,1995-03-03,CA,{}
83,Whittier,USA,Department of English,2002-07-25,Charles,2002,2561,Whittier College,Adams,S.,Dr.,{},90601-4446,2002-07-25,CA,{}
84,Whittier,USA,Department of English,2004-07-27,Charles,2004,73030,Whittier College,Adams,S.,Dr.,{},90601-4446,2004-07-27,CA,{}
85,{},{},{},1998-04-03,Chris,1998,10148,Unaffiliated Independent Scholar,Adams,{},{},{},{},1998-04-03,{},President/Healthier Outcomes
86,St. Mary's City,USA,Department of History,1996-12-15,Christine,1997,7282,St. Mary's College of Maryland,Adams,{},Prof.,{},20686-3002,1996-11-15,MD,Assistant Professor
87,St. Mary's City,USA,Department of History,1997-12-19,Christine,1998,7381,St. Mary's College of Maryland,Adams,{},Prof.,{},20686-3002,1997-11-17,MD,Assistant Professor
88,St. Mary's City,USA,Department of History,2000-12-18,Christine,2001,6224,St. Mary's College of Maryland,Adams,{},Prof.,{},20686-3002,2000-11-18,MD,Assistant Professor
89,St. Mary's City,USA,Department of History,2002-12-24,Christine,2003,66796,St. Mary's College of Maryland,Adams,{},Prof.,{},20686-3002,2002-10-15,MD,Assistant Professor
90,St. Mary's City,USA,Department of History,2006-11-20,Christine,2007,75115,St. Mary's College of Maryland,Adams,{},Prof.,{},20686-3002,2006-10-10,MD,Assistant Professor
91,Mount Pleasant,USA,{},1997-12-19,Frederick,1998,7454,Central Michigan University,Adams,R.,Prof.,{},48859-0001,1997-11-17,MI,{}
92,Mount Pleasant,USA,{},1998-12-18,Frederick,1999,7547,Central Michigan University,Adams,R.,Prof.,{},48859-0001,1998-11-16,MI,{}
93,Mount Pleasant,USA,{},1999-12-15,Frederick,2000,6186,Central Michigan University,Adams,R.,Prof.,{},48859-0001,1999-12-05,MI,{}
94,Mount Pleasant,USA,{},2001-01-04,Frederick,2001,6295,Central Michigan University,Adams,R.,Prof.,{},48859-0001,2000-12-05,MI,{}
95,Mount Pleasant,USA,{},2002-08-05,Frederick,2002,3501,Central Michigan University,Adams,R.,Prof.,{},48859-0001,2002-08-05,MI,{}
96,Mount Pleasant,USA,{},2004-08-17,Frederick,2004,72898,Central Michigan University,Adams,R.,Prof.,{},48859-0001,2004-08-17,MI,{}
97,Mount Pleasant,USA,{},2006-08-15,Frederick,2006,74865,Central Michigan University,Adams,R.,Prof.,{},48859-0001,2006-08-15,MI,{}
98,Mount Pleasant,USA,{},2008-07-17,Frederick,2008,76536,Central Michigan University,Adams,R.,Prof.,{},48859-0001,2008-07-17,MI,{}
99,Toledo,USA,{},1991-04-19,Harriet,1991,8007,University of Toledo,Adams,F.,Mrs.,{},43606-3390,1991-04-18,OH,Associate Professor
100,Cleveland,USA,Department of Art History and Art,1991-02-08,Henry,1991,8492,Case Western Reserve University,Adams,{},Mr.,{},44106-4901,1991-02-07,OH,Professor of American Art
101,Cleveland,USA,Department of Art History and Art,1995-02-14,Henry,1995,8739,Case Western Reserve University,Adams,{},Mr.,{},44106-4901,1995-02-13,OH,Professor of American Art
102,Cleveland,USA,Department of Art History and Art,2010-11-30,Henry,2011,79216,Case Western Reserve University,Adams,{},Mr.,{},44106-4901,2010-11-30,OH,Professor of American Art
103,Austin,USA,American History,1995-08-25,Katherine,1995,8137,"University of Texas, Austin",Adams,J.,Mrs.,{},78712-0100,1995-08-25,TX,Library Administrator
104,Chicago,USA,{},1992-12-31,Kathleen,1993,5420,"Loyola University, Chicago",Adams,{},Prof.,{},60611-2147,1992-11-03,IL,Dept. of Anthropology & Soc.
105,Chicago,USA,{},1996-04-24,Kathleen,1995,6001,"Loyola University, Chicago",Adams,{},Prof.,{},60611-2147,1995-04-24,IL,Dept. of Anthropology & Soc.
106,Chicago,USA,{},1998-08-04,Kathleen,1998,4158,"Loyola University, Chicago",Adams,{},Prof.,{},60611-2147,1998-08-04,IL,Dept. of Anthropology & Soc.
107,Seattle,USA,{},2014-08-07,Luther,2014,82714,University of Washington,Adams,{},{},{},98105-6613,2014-08-07,WA,{}
108,St. Louis,USA,{},1900-01-01,Melanie,2015,84178,Missouri Historical Society,Adams,{},Dr.,{},63112,2015-08-28,MO,Managing Director of Community Education and Events
109,Bloomington,USA,"Editor, American Speech",2006-10-31,Michael,2007,75232,"Indiana University, Bloomington",Adams,P.,Mr.,{},47405-7000,2006-10-31,IN,"Associate Professor, Department of English"
110,Bloomington,USA,"Editor, American Speech",2013-12-11,Michael,2014,82184,"Indiana University, Bloomington",Adams,P.,Mr.,{},47405-7000,2013-12-11,IN,"Associate Professor, Department of English"
111,Cambridge,USA,{},1991-07-26,Monnie,1991,8505,Peabody Museum of Archaeology and Ethnology at Harvard University,Adams,J.,Prof.,{},02138-2019,1991-07-25,MA,Assoc. in Afr. & Oceanic Ethn.
112,Poughkeepsie,USA,Art Department,1900-01-01,Nicholas,2015,84003,Vassar College,Adams,{},Dr.,{},12604-0001,2015-07-31,NY,Professor of Architectural History
113,Baltimore,USA,{},1992-05-15,Peter,1992,1471,Community College of Baltimore County,Adams,D.,Prof.,{},21237-3899,1992-05-15,MD,{}
114,College Station,USA,Department of History,2011-07-21,R.J.,2011,79670,"Texas A & M University, College Station",Adams,Q.,Dr.,{},77843-0001,2011-07-21,TX,Distinguished Professor of History
115,San Antonio,USA,{},1991-07-26,Richard E.,1991,8510,"University of Texas, San Antonio",Adams,W.,Dr.,{},78249-1644,1991-07-25,TX,Professor Anthropology
