,AccesGovernor,AccessFormat,AccessMassMail,AccessMtg,AccessMtgOpen,AccessNews,AccessNewsFreq,AccessNewsName,AccessOfficial,AccessPublic,AttendChautauqua,AttendConference,AttendCultTour,AttendDiscuss,AttendExhibit,AttendFestival,AttendFilm,AttendLibrary,AttendLiteracy,AttendMuseum,AttendPreservation,AttendPublication,AttendRadio,AttendResearch,AttendSpkrBureau,AttendStudent,AttendTV,AttendTeacher,AttendTech,Award1,Award2,Award3,ByLawsAppr,ChairTerm,ChairTermMax,ChairTermRenew,Comments1,Comments2,Comments3,Comments4,CongDistrict,CouncilMtgDates,CouncilMtgNumber,CouncilMtgOther,GrtApplicFunded,GrtApplicReceived,GrtScholars,GrtScholarsEffort,MembApptRenew,MembCurrent,MembGovAppt,MembGovApptCoext,MembGovApptMax,MembGovApptNumber,MembGovApptRenew,MembGovApptTerm,MembMaxServ,MembNominProc,MembRegTerm,MembTotal,PlanYear,ProjChautauqua,ProjConference,ProjCultTour,ProjDiscuss,ProjExhibit,ProjFestival,ProjFilm,ProjLibrary,ProjLiteracy,ProjMuseum,ProjPreservation,ProjPublication,ProjRadio,ProjResearch,ProjSpkrBureau,ProjStudent,ProjTV,ProjTeacher,ProjTech,ReachAudience,SpecialGroups,State
0,Y,"Reports, visits by board members or staff, biennial reports, project summary reports","Postcard notice of availability of guidelines, Speakers Bureau catalogue, Friends of the .Humanities brochures",Yes,Y,Y,6 times year,Frame of Reference,Y,"Friends of the Humanities receptions, Speakers Bureau events, program activities, partnership meetings, program meetings, council meetings, visits to cultural institutions.",0,2638,0,62538,202922,0,1000,0,0,0,0,2500,150000,79,5101,27,126000,40,154,{},{},{},1995,1,2,N,{},{},{},{},{},Nov. 6-7. 1998; Feb. 1999; May 1999,3,"Each February board members and key staff travel to the state capital to visit with legislators and answer questions.  Public reception is held involving a speaker or humanities activity, reports on Forum's activities, and answering questions from attende",30,46,79,"Recruitment of scholars and tradition-bearers is more or less continual on the part of both board and staff.  Alaska has a small population and relatively small community of scholars and tradition-bearers.  Sooner or later, we run across nearly all of them.",Y,13,2,Y,6,0,Y,4,6,"A nomination letter and form mailed to every individual and organization on the Forum's 5,200 named mailing list (universities, schools, arts and cultural organizations, libraries, museums, local governments, tribal governments, non-profit organiations, elected officials and interested individuals); personal recruitment through networks established by the Forum board, staff, regrantees, project participants, program personnel, sscholars, Speakers Bureau members, and Friends of the Humanities.",3,13,1998,0,7,0,15,3,0,4,0,0,0,1,11,2,5,79,2,2,0,1,"This past year the Forum has conducted the most ambitious process of public dialogue ever undertaken in Alaska, Principles & Interests: The Permanent Fund and Alaska's Future was a major council-counducted project with a budget of some $290,000.  It consisted of a two-day conference on major public",{},AK
1,Y,"Newsletter, press releases, direct correspondence, personal meetings.","Guidelines, brochures, catalogues.",Yes,Y,Y,3 times a year,Mosaic,Y,"Press releases, public award luncheon.",2000,5257,97,12149,31650,500,0,0,0,0,0,0,0,0,5779,0,1130000,1161,0,{},{},{},1997,1,2,Y,{},{},{},{},{},"Oct. 9-10, 1998; Jan. 1999; May 1999",4,Regular meetings of board committees.  Advisory committees for programs and events.,34,43,295,Grants-related RFP; speakers bureau RFP; direct recruitment for specific projects; presentations at scholarly meetings and conferences.,Y,24,6,Y,8,0,Y,4,6,"Public solicitation through flyers, letters, phone and listing in newsletter.",3,25,1998,1,9,2,83,5,1,0,0,0,0,1,0,0,0,133,0,7,28,1,Council-conducted projects target rural areas and grassroots organizations.  Presentations and publications target underserved groups and areas.,"Rural: 35,000; African-American: 18,000; (excluding media)",AL
2,Y,"Council mailings, reports","Resource Center catalogues, solicitations for contributions, calls for proposals",Yes,Y,Y,3 times year,Reflections,Y,Board members do promotion and program development in their regions.Our basic mode of interaction is to determine how AHC can be useful to constituents and potential constituents.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39538,5351,52139,415,0,{},{},{},1995,1,2,Y,{},{},{},{},{},"Aug. 6-8, 1998; Nov. 1998; April 1999",3,The minigrant application review committee meets 11 months/year by conference call.  The five standing committees meet at least once year year.,83,138,207,"We persistently advocate for scholarly involvement in the public humanities program.  We are active in scholarly networks, and have good working relationships with most of the state associations.",Y,23,6,N,6,0,Y,3,6,"The council widely solicits nominations through regular announcements in its newsletter, at workshops, at meetings, and during presentations.  The executive director writes to associations and other memberships organizations.  Board members regularly suggest prospective candidates for the board.  All prospects receive written information about AHC and are invited to include their names in the membership committee's pool.  The committee slates candidates for election by the board annually.",3,24,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,Most of our program design and development strategies are geared to reaching and working with underserved constituencess.   The underlying principle of our planning is that we have a responsibility to reach beyond the readily accessible constituencies.,"Our current data base design does not capture this sort of information, nor the information asked for in VI A&B.",AR
3,Y,Gubernatorial appointees on the Council Board;   the Executive Director and Council Officers; Governors Humanitarian Award Banquet; the governor as a guest at council conducted projects and as a scholar to humanities projects.,None,Yes,N,N,NA,NA,Y,"Individual contacts, social meetings, call-in on phone lines, etc.",520,150,45,510,240,480,0,0,1911,0,0,0,0,80,0,365,2700,100,0,{},{},{},1994,2,4,Y,{},{},{},{},{},"July 18, 1998; Oct. 30, 1998; Jan. 24, 1999; April 28, 1999",4,"Sstanding Committee Meetings; the Executive Committee, the other two committees, the Program Committee.",8,18,29,"The ASHC Staff contacts scholars and recruit eligible candidates for scholars all year round.  Furthermore, the council designates different scholars to various regrant projects that need assistance in identifying a humanities scholar.",Y,9,2,N,6,0,Y,3,6,"When a seat on the Council Board is vacant, or the time is near for election of new members, the Nominations and Membership committee informs the public through newspaper advertisement and Invitation Letters for nominations to private non-profits, government departments, community non-profits, the community college and Legislature.  Nomination applications are forward to Council for election.",3,14,1998,3,1,1,29,2,3,0,0,1,0,0,0,0,5,0,28,32,1,0,The Council efforts are strongly towards recruiting and inclusion of community groups from rural and grassroot segment of the population.  Meetings with hard to reach communities are scheduled from the office.,"Teach = P: 2,  A: 400; Youth & Students = P: 51, A: 1,531;  Adults = P:40,  A: 4,868; Women = P: 17, A: 512",AS
4,Y,"Newsletter, AHC publications, meetings with staff and Board members","Guidelines, Resource Center catalog, annual report, and publicity about Council-conducted programs.",Yes,N,Y,3 times year,Arizona Insight,Y,"Regular attendance and presentations at scholarly and cultural conferences, such as the Museum Association of Arizona, Arizona Historical Society, and others.",0,3598,0,1702,239909,2800,0,0,0,0,0,50000,0,0,0,0,1317000,33,0,{},{},{},1997,2,2,N,{},{},{},{},{},"June 11-13, 1998; Sept. 11-12, 1998; December 4-5, 1998; March 1999",4,"Executive Committee meets at each full board meeting and approximately five to six times per year.  Standing committees meet at each full board meeting and as necessary in between.  In 1997, the advisory committee (E-Team) for AHC's Social Entrepreneurs p",167,200,294,"AHC maintains a scholars database, which is updated periodically.  Forms are distributed to groups when scholars are in the audience, and they are routinely sent to new faculty members at Arizona's colleges and universities.",Y,23,5,N,6,0,Y,3,6,Nominations are solicited statewide through AHC's newsletter and public meetings.  Candidates are asked to submit a resume and letter of interest.  Members of the Membership Committee (renamed Nominating Committee as of 3/98) interview potential Board members and nominate candidates for election by the full Board at the annual meeting.,3,30,1998,0,105,0,35,12,2,3,0,0,0,3,4,0,8,0,0,3,2,0,"Reaching broader audiences is a consideration in awarding AHC's grants on an ongoing basis.  In addition, AHC plans programs through its special projects and Council-conducted activities to reach underserved communities.",AHC has bnot identified specific groups with target numbers.,AZ
5,Y,Newsletter,Direct mail fundraising letters.  We also maintain a website.,Yes,Y,Y,Quarterly,Humanities Network,Y,Direct mail fundraising letters.  We also maintain a website.,20000,1200,0,6000,90000,0,0,0,505,0,0,0,40000,0,0,0,6600000,0,20000,{},{},{},1997,2,2,N,{},{},{},{},{},"June 5, 1998; Sept. 11, 1998; Dec. 11, 1998; March 11-13, 1999",4,Executive Committee 2 meetings/year; Program Committee 3 meetings/year; Membership Committee 1 meeting/year; Proposal Review Committee 2 meetings/year; Budget Committee 2 meetings/year; Development Committee 4 meetings/year.,131,226,315,"Presentations were made at the California Studies Conference.  CCH also made presentations to scholars at universities throughout California, including but not limited to University of San Diego, CSU Los Angeles, CSU Northridge, San Diego State University, UC San Diego, UC Santa Barbara, El Camino College, Santa Monica College, L.A. Southwest College, and College of the Redlands.",Y,22,4,N,6,0,Y,3,6,"Invitation to nominate sent in newsletter to 12,000 mailing list every August.",3,26,1998,3,15,0,77,13,1,7,0,213,0,0,0,2,0,0,0,0,0,3,CCH is engaged in a Council-conducted project that will seek to have a project in each of California's 80 Assembly Districts.  This will extend the work of CCH to areas of the state that it has not previously sponsored or conducted a program. In addition the Council has initiated a partnership with,"Motheread program reaches inner-city;  in 1997 reacjed 500 families, had 43 parent groups, 28 partner agencies.",CA
6,Y,"Governor and other officials receive CEH newsletters, annual reports, program information, invitations and press releases.","Annual report, program announcements, invitations to events",Yes,Y,Y,2 or 3 per year,CEH News,Y,Public hears from CEH board and staff members at the opening/closing of many programs.  Comments are solicited through evaluation questionnaires and on our BRE.,1700,1340,50,1870,1400,1300,0,0,0,0,0,0,0,0,0,0,0,125,0,{},{},{},1998,1,1,N,{},{},{},{},{},"Sept. 25-27, 1998; Nov. 14, 1998; January 29, 1999; April 23, 1999; Aug. 13-15, 1999",4,"The Executive Committee meets 4-6 times per year.  Other committees of the Board (Program Policy and Evaluation, Fiscal Policy and Oversight, Development & External Affairs, and Nominating) meet 2-6 times per year.",16,27,126,Use of advisors for program development; mailing to all college and university presidents asking them to identify contact people in each campus and asking for update humanities faculty lists.,Y,18,5,Y,0,0,Y,0,6,"Nominations are sought through press releases mailed to newspapers statewide, through the CEH newsletters and a deliberate process of seeking candidates through Board members, alumni and friends.",4,20,1998,18,5,2,15,4,2,2,0,0,0,0,0,0,0,0,0,0,4,0,New audience for CEH is the K-12 age group.  Chautauqua is being offered to the K-12 schools through Resource Center grants.  Ten K-12 programs have occurred om 1998 so far.  Rural audiences are of special interest to CEH.  We are also making plans to target urban and sluburban neighborhoods with Co,"Rural Communities 5 Projects, 500 Audience; Teachers 4 Projects, 125 Audience.",CO
7,Y,"Press releases, quarterly reports to Congressional delegation, Governor, key state officials and legislators, state-wide ""Calendar of Ideas"" with various news items on Council initiatives and programs circulated to list of 20,000.","Overviews of granting programs, annual report, guidelines",Yes,N,Y,4 times year,Calendar of Ideas,Y,Ongoing attempts to generate media coverage of Council and its programs.  Members and CHC Friends organizations specifically urged to provide feedback on Council priorities and programs in gift acknowledgement letter.  In 1997-98 used focus groups and feasibility study to explore public attitudes toward our work and clarify their needs and priorities.,0,1380,126800,1150,110000,11400,10000,0,0,0,0,20000,0,240,0,20000,400000,1093,10,{},{},{},1996,1,2,Y,{},{},{},{},{},"Apr. 8, 1998; June 30, 1998; Oct. 8, 1998; Jan. 1999",4,"Joint Committee on Application Review and Evaluation (quarterly), Special Initiatives Committee (quarterly), Personnel Committee (annually), Finance Committee (quarterly), Nominations Committee (annually), Audit Committee (annually)",86,102,688,"Conducted a survey to create a state-wide database of scholars and other consultants (i.e., exhibit designers) - 150 listed.  Top to bottom overhaul of our academic mailing list in 1998 to ensure inclusion of all humanities faculty in all Connecticut colleges and universities in our network.",Y,25,6,N,6,0,Y,2,6,"Annual call for nominations sent to key state-wide cultural organizations, university presidents and community leaders.  Nominating Committee reviews current and pending nominations in September in context of Council needs and program directions.  Nominations voted on individually by Full Council in October.",2,25,1998,3,13,7,9,20,4,2,0,0,0,0,2,0,14,0,1,0,5,1,"Eliminated boring newsletter sent to 7,500 and substituted our new state-wide ""Calendar of Ideas"", designed both to illuminate the nature of the humanities themselves and to illustrate our work, to a mailing list of 20,000.","Viewers/listners of Public TV & Radio,118,000; readers 4,500; 38 discussion series, 4,750.",CT
8,Y,"Newsletters, correspondence, invitations to events, special events and the Annual Public Humanities Award Program, personal meetingss.","Annual Reports, guidelines, brochures, catalogues,  invitations; calendars of events",Yes,Y,Y,Quarterly,Humanities,Y,"Grantwriting workshops; one-on-one meetings; website; email,  networking opportunities for grantees.",100,2500,8000,4500,36000,11500,10000,0,2000,0,1000,12000,0,15,60,2940,100000,7630,0,{},{},{},1996,2,3,Y,{},{},{},{},{},"June 13, 1998, October 5, 1998, February 28, 1999",3,"8 grant review panels, 4-6 Executive Meetings; Nominating and Membership Committee, Annual Fund Campaign; Program/Special Events",63,76,150,"Mailings, scholars directory, recruitment at conferences, colloquia, council-funded and conducted projects, visits to universities and colleges.",Y,19,5,Y,0,0,Y,2,6,Call for nominations in quarterly newsletter; targeted mailings; Nominating and Membership Committee review nominee pool and meet with candidates.  Committee slate for elected members distributed to bd. for June annual meeting.,3,23,1998,2,12,20,86,6,7,0,0,0,0,3,8,0,15,5,13,1,5,0,"Programming:  City Lights Books for Kids and WritersCorps; public schools east of the Anacostia River; Grant Advising & Outreach (especially into wards 6, 7, 8); Public meetings, publications, Award program, Media programs, Web Site.","Books for Kids and WritersCorp 3,000; Grant programs 1,000; Meetings/pub:Annual Awards & Humanities 2,000",DC
9,Y,"Newsletter, mailings, occasional meetings, invitations to selected humanities events.","1,500 Speakers Bureau catalogss, 4,000 visiting scholars program catalogs; special ad hoc mailings",Yes,N,Y,3 times year,DHF Newsletter,Y,World Wide Web site; visitors may request and/or download  materials including guidelines and grants information and the Speakers Bureau catalog.  Visitors may send comments via e-mail.,455,3315,0,500,11000,1750,0,0,10,0,0,19300,0,0,10598,18515,21000,57,0,{},{},{},1996,1,2,Y,{},{},{},{},{},"Sept. 22, 1998; Nov. 13-14, 1998; Jan. 28, 1999; May 20, 1999",4,"The Executive Committee and the Proposal Review Committee meet six times annually; the Nominations Committee meets 2-3 times in the fall; the Projects Committee, Fund Raising Committee and Program Development Committee usually meet 1-2 times annually.  A",26,29,133,The Forum solicits participation in its Speakers Bureau and Visiting Scholars Program through mailings to academics and by mailling an announcement to humanities academic departments throughout the state.,Y,26,6,N,6,0,Y,3,6,"Each September, a call for public nominations is advertized through press releases (100+outlets), newsletter notice (4000+pieces), and special mailing (150+).  The special mailing goes to a list of council alumni, cultural and civic leaders, legislators, donors, heads of academic departments, and state officials.  The nominations committee of the board meets later in the fall to sort through new nominations and nominations from earlier years; we generally have a pool of 1-2 dozen active nominations to choose from.  The Committee develops a slat",3,27,1998,14,0,2,19,4,3,0,0,1,0,0,6,0,0,186,291,2,2,0,"The Forum has emphasized programming with the minority communities of Delaware, especially the African-American and Hispanic American communities.  These communities have used our programs and attended activities, but not to the degree that the Forum believes is appropriate.  We are continuing to em",{},DE
