,AppNumber,ApplicantType,ApprovedMatching,ApprovedOutright,AwardMatching,AwardOutright,BeginGrant,CouncilDate,Discipline,DisciplineCount,Division,EndGrant,InstCity,InstCountry,InstPostalCode,InstState,Institution,OrganizationType,OriginalAmount,Participant,ParticipantCount,PrimaryDiscipline,Program,ProjectDesc,ProjectTitle,Supplement,SupplementAmount,SupplementCount,ToSupport,Unnamed: 0,YearAwarded
603,FA-10074-67,I,0.0,13270.0,0.0,13270.0,1966-10-01T00:00:00,1967-01-12,{'Name': 'British Literature'},1,Research Programs,1967-09-30T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,13270.0,"{'Firstname': 'Norman', 'Lastname': 'Kelvin', 'Institution': 'CUNY Research Foundation, City College', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1966-10-01T00:00:00'}",1,British Literature,Fellowships for University Teachers,{},Title not available,,,0,{},603,1967
868,RE-10022-69,O,0.0,8000.0,0.0,8000.0,1969-01-01T00:00:00,1968-11-18,{'Name': 'Music History and Criticism'},1,Research Programs,1969-12-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,8000.0,"{'Firstname': 'Barry', 'Lastname': 'Brook', 'Institution': 'CUNY Research Foundation, City College', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1969-01-01T00:00:00'}",1,Music History and Criticism,Editions,{},International Repertory of Music Literature Project,,,0,{},868,1969
878,RO-10016-67,O,0.0,31070.0,0.0,31070.0,1967-02-01T00:00:00,1967-05-22,{'Name': 'Music History and Criticism'},1,Research Programs,1968-02-29T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,31070.0,"{'Firstname': 'Barry', 'Lastname': 'Brook', 'Institution': 'CUNY Research Foundation, City College', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1967-02-01T00:00:00'}",1,Music History and Criticism,Basic Research,{},International Repertory of Music Literature Project,,,0,{},878,1967
2109,FB-*0040-79,I,0.0,20000.0,0.0,20000.0,1979-09-01T00:00:00,1978-11-01,{'Name': 'Unknown'},1,Research Programs,1980-08-31T00:00:00,New York,USA,10016,NY,"CUNY Research Foundation, Graduate School and University Center",Individual,20000.0,"{'Firstname': 'Joyce', 'Lastname': 'Gelb', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1978-08-01T00:00:00'}",1,"Interdisciplinary Studies, General",Fellowships for College Teachers and Independent Scholars,{},"Fellowship, Political Science",,,0,{},1103,1979
2327,FR-*0024-79,I,0.0,16500.0,0.0,16500.0,1979-09-01T00:00:00,1978-11-01,{'Name': 'Unknown'},1,Research Programs,1980-08-31T00:00:00,New York,USA,10019,NY,"CUNY Research Foundation, Graduate School and University Center",Individual,16500.0,"{'Firstname': 'Mary', 'Lastname': 'Gibson', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1978-08-01T00:00:00'}",1,"Interdisciplinary Studies, General","Residential College Teacher Fellowships, 1976 - 1981",{},"Fellowship, History",,,0,{},1321,1979
6180,FA-002779-79,I,0.0,20000.0,0.0,20000.0,1979-07-01T00:00:00,1978-08-01,"{'Name': 'Literature, General'}",1,Research Programs,1980-07-01T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,20000.0,,0,"Literature, General",Fellowships for University Teachers,{},The Function of Framing in the Poem,,,0,{},5174,1979
6462,FA-11334-76,I,0.0,10000.0,0.0,10000.0,1976-08-01T00:00:00,1975-11-01,{'Name': 'British Literature'},1,Research Programs,1978-01-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,10000.0,"{'Firstname': 'Frank', 'Lastname': 'Brady', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1976-08-01T00:00:00'}",1,British Literature,Fellowships for University Teachers,"The second and final volume of a two volume biography of James Boswell, entitled James Boswell; The Later Years, written in collaboration with Frederick A. Pottle. Intended to be the standard biography of Boswell, this work is based mainly on materials in the Yale Boswell collection. The first volume was published in 1966. The second volume will include an extensive critical examination of Boswell's two major biographical studies.",James Boswell: The Later Years (A Biographical and Critical Study),,,0,{},5456,1976
6609,FA-12294-78,I,0.0,20000.0,0.0,20000.0,1978-02-01T00:00:00,1978-05-01,{'Name': 'Law and Jurisprudence'},1,Research Programs,1979-01-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,20000.0,"{'Firstname': 'Saul', 'Lastname': 'Touster', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1978-02-01T00:00:00'}",1,Law and Jurisprudence,Fellowships for University Teachers,"Study will be a close examination of the ""texts"" of Holmes's life— his judicial opinions, his speeches and his letters—using the tools of new criticism and psychological theory. The moral passage of Oliver Wendell Holmes, Jr., from young Abolitionist, volunteering and wading through a ""sea of blood,"" to judge on the Massachusetts Supreme Court, skeptical and aloof, offers striking parallels to what happened to the spirit of the country at large after the Civil War. Focus will be on how this transformation of character, in Holmes and in the country, from 1860 to 1900, was effected and its ""style"" and psychology will be identified.",The Moral Passage of Justice Holmes: Judgment and Character in the Gilded Age,,,0,{},5603,1978
7478,FP-020079-79,O,0.0,45509.0,0.0,45509.0,1978-12-01T00:00:00,1978-08-01,"{'Name': 'Social Sciences, General'}",1,Fellowships and Seminars,1979-09-30T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,45509.0,"{'Firstname': 'Herbert', 'Lastname': 'Gutman', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1978-12-01T00:00:00'}",1,"Social Sciences, General",Fellowships & Stipends For Professionals,{},Americans at Work: Changing Social and Cultural Practices,,,0,{},6472,1979
7507,FP-10139-77,I,0.0,43294.0,0.0,43294.0,1976-12-01T00:00:00,1976-09-01,"{'Name': 'Interdisciplinary Studies, General'}",1,Fellowships and Seminars,1977-08-31T00:00:00,New York,USA,10016-4309,NY,"CUNY Research Foundation, Graduate School and University Center",University,43294.0,"{'Firstname': 'Herbert', 'Lastname': 'Gutman', 'Institution': 'CUNY Research Foundation, Graduate School and University Center', 'City': 'New York', 'State': 'NY', 'Country': 'USA', 'ParticipantTypeID': 'Project Director', 'ValidFr': '1976-12-01T00:00:00'}",1,"Interdisciplinary Studies, General",Fellowships & Stipends For Professionals,"To address the nature of the changing work experience and the relationship between it and larger social and cultural processes. The purpose of the seminar is to put the contemporary ""crisis"" over work into a meaningful historical perspective.","Profession Seminar Entitled ""Americans at Work: Changing Social and Cultural Practices""",,,0,{},6501,1977
